iter	RMSE
0	4350.899621
1	4083.084515
2	3854.847651
3	3651.424824
4	3456.581369
5	3306.974301
6	3161.634649
7	3036.801525
8	2933.337179
9	2832.346517
10	2741.968805
11	2664.167297
12	2592.411713
13	2530.884021
14	2492.236663
15	2445.503262
16	2401.424678
17	2379.266468
18	2351.424407
19	2311.556529
20	2283.114716
21	2248.715882
22	2222.535819
23	2196.865027
24	2180.770717
25	2161.030135
26	2138.703196
27	2115.83103
28	2098.135444
29	2094.913159
30	2078.379064
31	2064.673031
32	2048.655547
33	2027.513495
34	2011.170185
35	1998.411122
36	1988.915521
37	1976.9531
38	1963.436638
39	1953.054909
40	1940.357133
41	1932.517383
42	1924.794258
43	1920.204753
44	1911.735263
45	1902.900916
46	1897.451982
47	1889.485524
48	1879.61224
49	1867.972151
50	1856.634733
51	1845.904438
52	1842.131509
53	1832.223046
54	1823.586331
55	1812.843858
56	1806.808627
57	1799.312681
58	1792.903733
59	1785.279257
60	1774.231208
61	1764.265315
62	1759.459376
63	1751.86487
64	1744.91274
65	1738.974714
66	1726.865117
67	1721.247876
68	1714.980794
69	1709.360434
70	1704.03393
71	1696.083442
72	1689.811162
73	1684.928204
74	1678.75912
75	1671.006123
76	1667.374754
77	1660.080937
78	1656.400498
79	1653.183646
80	1644.666607
81	1639.57598
82	1631.013101
83	1626.410781
84	1620.892771
85	1618.411428
86	1614.465439
87	1610.484385
88	1607.102401
89	1602.43512
90	1600.618006
91	1595.111827
92	1589.024415
93	1582.214981
94	1577.085364
95	1573.054213
96	1572.821695
97	1570.510588
98	1564.933178
99	1560.727346
