iter	Passed	Remaining
0	1	152
1	2	134
2	4	139
3	5	127
4	6	128
5	7	124
6	9	121
7	10	116
8	11	114
9	12	111
10	13	110
11	14	106
12	15	103
13	16	102
14	17	101
15	19	100
16	20	99
17	22	101
18	23	99
19	24	97
20	25	96
21	26	95
22	28	94
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	87
29	36	86
30	38	84
31	39	83
32	40	82
33	41	80
34	42	79
35	44	78
36	45	76
37	46	75
38	47	74
39	48	73
40	50	72
41	50	70
42	52	69
43	53	68
44	55	67
45	56	65
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	78	40
66	80	39
67	81	38
68	82	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	111	9
92	112	8
93	113	7
94	114	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
